reg,libelle_reg,libelle_dep,jour,dom_tom,incid_tous,incid_70+,rea%,rea%_dep,niveau_global
84,Auvergne-Rhône-Alpes,Ain,2020-03-18,,,,5.37,0.0,
84,Auvergne-Rhône-Alpes,Ain,2020-03-19,,,,9.48,0.0,
84,Auvergne-Rhône-Alpes,Ain,2020-03-20,,,,11.45,0.0,
84,Auvergne-Rhône-Alpes,Ain,2020-03-21,,,,11.45,0.0,
84,Auvergne-Rhône-Alpes,Ain,2020-03-22,,,,14.31,4.55,
84,Auvergne-Rhône-Alpes,Ain,2020-03-23,,,,22.72,13.64,
84,Auvergne-Rhône-Alpes,Ain,2020-03-24,,,,30.05,13.64,
84,Auvergne-Rhône-Alpes,Ain,2020-03-25,,,,44.01,27.27,
84,Auvergne-Rhône-Alpes,Ain,2020-03-26,,,,50.27,27.27,
84,Auvergne-Rhône-Alpes,Ain,2020-03-27,,,,59.57,40.91,
84,Auvergne-Rhône-Alpes,Ain,2020-03-28,,,,75.31,54.55,
84,Auvergne-Rhône-Alpes,Ain,2020-03-29,,,,86.94,59.09,
84,Auvergne-Rhône-Alpes,Ain,2020-03-30,,,,102.33,81.82,
84,Auvergne-Rhône-Alpes,Ain,2020-03-31,,,,109.66,68.18,
84,Auvergne-Rhône-Alpes,Ain,2020-04-01,,,,118.25,122.73,
84,Auvergne-Rhône-Alpes,Ain,2020-04-02,,,,123.26,145.45,
84,Auvergne-Rhône-Alpes,Ain,2020-04-03,,,,127.73,136.36,
84,Auvergne-Rhône-Alpes,Ain,2020-04-04,,,,132.2,140.91,
84,Auvergne-Rhône-Alpes,Ain,2020-04-05,,,,137.57,131.82,
84,Auvergne-Rhône-Alpes,Ain,2020-04-06,,,,138.64,131.82,
84,Auvergne-Rhône-Alpes,Ain,2020-04-07,,,,133.81,140.91,
84,Auvergne-Rhône-Alpes,Ain,2020-04-08,,,,130.41,150.0,
84,Auvergne-Rhône-Alpes,Ain,2020-04-09,,,,127.19,140.91,
84,Auvergne-Rhône-Alpes,Ain,2020-04-10,,,,123.26,118.18,
84,Auvergne-Rhône-Alpes,Ain,2020-04-11,,,,120.39,127.27,
84,Auvergne-Rhône-Alpes,Ain,2020-04-12,,,,118.96,127.27,
84,Auvergne-Rhône-Alpes,Ain,2020-04-13,,,,118.43,127.27,
84,Auvergne-Rhône-Alpes,Ain,2020-04-14,,,,116.46,122.73,
84,Auvergne-Rhône-Alpes,Ain,2020-04-15,,,,112.88,95.45,
84,Auvergne-Rhône-Alpes,Ain,2020-04-16,,,,110.91,100.0,
84,Auvergne-Rhône-Alpes,Ain,2020-04-17,,,,106.26,104.55,
84,Auvergne-Rhône-Alpes,Ain,2020-04-18,,,,102.15,109.09,
84,Auvergne-Rhône-Alpes,Ain,2020-04-19,,,,101.07,104.55,
84,Auvergne-Rhône-Alpes,Ain,2020-04-20,,,,101.61,95.45,
84,Auvergne-Rhône-Alpes,Ain,2020-04-21,,,,97.32,104.55,
84,Auvergne-Rhône-Alpes,Ain,2020-04-22,,,,91.06,86.36,
84,Auvergne-Rhône-Alpes,Ain,2020-04-23,,,,85.15,90.91,
84,Auvergne-Rhône-Alpes,Ain,2020-04-24,,,,81.93,90.91,
84,Auvergne-Rhône-Alpes,Ain,2020-04-25,,,,78.35,86.36,
84,Auvergne-Rhône-Alpes,Ain,2020-04-26,,,,77.46,86.36,
84,Auvergne-Rhône-Alpes,Ain,2020-04-27,,,,76.39,81.82,
84,Auvergne-Rhône-Alpes,Ain,2020-04-28,,,,71.56,77.27,
84,Auvergne-Rhône-Alpes,Ain,2020-04-29,,,,68.34,68.18,
84,Auvergne-Rhône-Alpes,Ain,2020-04-30,,,,66.37,72.73,
84,Auvergne-Rhône-Alpes,Ain,2020-05-01,,,,64.22,59.09,
84,Auvergne-Rhône-Alpes,Ain,2020-05-02,,,,64.22,63.64,
84,Auvergne-Rhône-Alpes,Ain,2020-05-03,,,,64.04,63.64,
84,Auvergne-Rhône-Alpes,Ain,2020-05-04,,,,61.72,50.0,
84,Auvergne-Rhône-Alpes,Ain,2020-05-05,,,,56.17,50.0,
84,Auvergne-Rhône-Alpes,Ain,2020-05-06,,,,52.95,45.45,
84,Auvergne-Rhône-Alpes,Ain,2020-05-07,,,,49.37,40.91,
84,Auvergne-Rhône-Alpes,Ain,2020-05-08,,,,46.87,36.36,
84,Auvergne-Rhône-Alpes,Ain,2020-05-09,,,,45.62,27.27,
84,Auvergne-Rhône-Alpes,Ain,2020-05-10,,,,45.26,27.27,
84,Auvergne-Rhône-Alpes,Ain,2020-05-11,,,,43.83,36.36,
84,Auvergne-Rhône-Alpes,Ain,2020-05-12,,,,42.22,36.36,
84,Auvergne-Rhône-Alpes,Ain,2020-05-13,,,,40.07,36.36,
84,Auvergne-Rhône-Alpes,Ain,2020-05-14,,,,37.75,36.36,
84,Auvergne-Rhône-Alpes,Ain,2020-05-15,,,,36.67,31.82,
84,Auvergne-Rhône-Alpes,Ain,2020-05-16,,,,33.81,27.27,
84,Auvergne-Rhône-Alpes,Ain,2020-05-17,,,,33.81,27.27,
84,Auvergne-Rhône-Alpes,Ain,2020-05-18,,,,32.74,27.27,
84,Auvergne-Rhône-Alpes,Ain,2020-05-19,False,6.37,,30.59,22.73,
84,Auvergne-Rhône-Alpes,Ain,2020-05-20,False,6.67,,29.34,22.73,
84,Auvergne-Rhône-Alpes,Ain,2020-05-21,False,5.46,,28.44,13.64,
84,Auvergne-Rhône-Alpes,Ain,2020-05-22,False,5.76,,27.19,9.09,
84,Auvergne-Rhône-Alpes,Ain,2020-05-23,False,6.07,,26.48,9.09,
84,Auvergne-Rhône-Alpes,Ain,2020-05-24,False,6.07,,26.65,9.09,
84,Auvergne-Rhône-Alpes,Ain,2020-05-25,False,4.85,,25.76,9.09,
84,Auvergne-Rhône-Alpes,Ain,2020-05-26,False,3.94,,24.69,9.09,
84,Auvergne-Rhône-Alpes,Ain,2020-05-27,False,2.88,,23.79,9.09,
84,Auvergne-Rhône-Alpes,Ain,2020-05-28,False,2.88,,20.75,13.64,
84,Auvergne-Rhône-Alpes,Ain,2020-05-29,False,2.73,,19.68,13.64,
84,Auvergne-Rhône-Alpes,Ain,2020-05-30,False,2.73,,21.11,9.09,
84,Auvergne-Rhône-Alpes,Ain,2020-05-31,False,2.88,,22.54,9.09,
84,Auvergne-Rhône-Alpes,Ain,2020-06-01,False,3.03,,21.82,9.09,
84,Auvergne-Rhône-Alpes,Ain,2020-06-02,False,3.19,,20.75,4.55,
84,Auvergne-Rhône-Alpes,Ain,2020-06-03,False,2.88,,17.89,4.55,
84,Auvergne-Rhône-Alpes,Ain,2020-06-04,False,2.73,,16.82,0.0,
84,Auvergne-Rhône-Alpes,Ain,2020-06-05,False,2.58,,15.21,0.0,
84,Auvergne-Rhône-Alpes,Ain,2020-06-06,False,2.73,11.73,14.85,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-07,False,2.73,11.73,14.85,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-08,False,2.12,7.04,14.49,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-09,False,1.82,3.52,11.99,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-10,False,1.67,4.6899999999999995,11.45,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-11,False,2.88,4.6899999999999995,8.94,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-12,False,2.73,2.3399999999999994,8.05,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-13,False,2.28,2.3399999999999994,7.33,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-14,False,2.28,1.1699999999999995,7.33,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-15,False,2.28,1.1699999999999995,6.98,0.0,OK
84,Auvergne-Rhône-Alpes,Ain,2020-06-16,False,2.58,2.3399999999999994,6.8,0.0,OK
